[20250806 01:19:18 638971][2073323296][FATAL][main.cpp:336]lcserver started with arguments:
--backlog-num=50
--business-timeout=30000
--connect-timeout=2000
--heartbeat-interval=60
--log-filename=log/game20002.log
--log-level=2
--max-request-size=1024000
--max-response-size=1024000
--private-service-num=1
--private-network-num=1
--private-addr=127.0.0.1
--private-port=8002
--public-service-num=5
--public-network-num=5
--public-addr=192.168.1.234
--public-port=8002
--read-timeout=30000
--write-timeout=30000
--config-file=conf/game20002.xml
--mess-code=BabelTime
--backend-port=5555
--policy-file=conf/crossdomain.xml
--flush-log=false
--max-idle-time=86400000
--backend-file=/home/pirate/rpcfw/lib/index.php
--max-request-per-second=40

[20250806 01:19:18 645759][2073323296][FATAL][TaskService.cpp:95]task started
[20250806 01:20:07 844812][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.010655, size:94
[20250806 01:20:07 844841][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:payback.getCurAvailablePayBackIds, token:3588679700
[20250806 01:20:07 844953][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:payback.getCurAvailablePayBackIds, backend:127.0.0.1
[20250806 01:20:07 857267][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.012396, size:80
[20250806 01:20:07 857311][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:mergeserver.getIsCompensation, token:3588679710
[20250806 01:20:07 857413][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:mergeserver.getIsCompensation, backend:127.0.0.1
[20250806 01:20:07 864486][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007150, size:78
[20250806 01:20:07 864511][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getArrConfig, token:3588679720
[20250806 01:20:07 864609][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getArrConfig, backend:127.0.0.1
[20250806 01:20:07 872853][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008320, size:67
[20250806 01:20:07 872890][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:hero.getRecruitHeroes, token:3588679730
[20250806 01:20:07 872992][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:hero.getRecruitHeroes, backend:127.0.0.1
[20250806 01:20:07 887277][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.014369, size:776
[20250806 01:20:08 251554][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:sciTech.getCdEndTime, token:3588679740
[20250806 01:20:08 251743][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:sciTech.getCdEndTime, backend:127.0.0.1
[20250806 01:20:08 266040][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.014436, size:73
[20250806 01:20:08 343301][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getVaConfig, token:3588679750
[20250806 01:20:08 343484][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getVaConfig, backend:127.0.0.1
[20250806 01:20:08 355144][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.011801, size:93
[20250806 01:20:08 355188][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:gm.getInfoBeforeExit, token:3588679760
[20250806 01:20:08 355282][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:gm.getInfoBeforeExit, backend:127.0.0.1
[20250806 01:20:08 362414][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007208, size:79
[20250806 01:20:08 362459][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:port.selfResourceInfo, token:3588679770
[20250806 01:20:08 362580][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:port.selfResourceInfo, backend:127.0.0.1
[20250806 01:20:08 400239][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.037759, size:81
[20250806 01:20:08 400270][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getCanRecruitHeroNum, token:3588679780
[20250806 01:20:08 400398][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getCanRecruitHeroNum, backend:127.0.0.1
[20250806 01:20:08 408945][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008652, size:86
[20250806 01:20:08 408992][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:achievements.getNameList, token:3588679790
[20250806 01:20:08 409095][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:achievements.getNameList, backend:127.0.0.1
[20250806 01:20:08 417762][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008748, size:81
[20250806 01:20:08 417786][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:dress.getDressRommInfo, token:3588679800
[20250806 01:20:08 417894][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:dress.getDressRommInfo, backend:127.0.0.1
[20250806 01:20:08 426663][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008847, size:124
[20250806 01:20:08 426713][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:copet.getUserPetInfo, token:3588679810
[20250806 01:20:08 427011][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:copet.getUserPetInfo, backend:127.0.0.1
[20250806 01:20:08 448678][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.021955, size:169
[20250806 01:20:08 448732][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:copet.getUserPetCollectionInfo, token:3588679820
[20250806 01:20:08 448975][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:copet.getUserPetCollectionInfo, backend:127.0.0.1
[20250806 01:20:08 456979][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008218, size:77
[20250806 01:20:08 457012][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:guildskill.getAllGuildTechLv, token:3588679830
[20250806 01:20:08 457167][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:guildskill.getAllGuildTechLv, backend:127.0.0.1
[20250806 01:20:08 473869][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.016832, size:126
[20250806 01:20:08 473894][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:propertylock.getStatus, token:3588679840
[20250806 01:20:08 473984][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:propertylock.getStatus, backend:127.0.0.1
[20250806 01:20:08 485771][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.011861, size:216
[20250806 01:20:08 485812][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:worldpeak.getUserPeakInfo, token:3588679850
[20250806 01:20:08 485910][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:worldpeak.getUserPeakInfo, backend:127.0.0.1
[20250806 01:20:08 493787][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007958, size:86
[20250806 01:20:08 493833][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:bag.bagInfo, token:3588679860
[20250806 01:20:08 493931][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:bag.bagInfo, backend:127.0.0.1
[20250806 01:20:08 814486][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.320637, size:374
[20250806 01:20:08 814521][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:hero.getConvertHeroes, token:3588679870
[20250806 01:20:08 814632][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:hero.getConvertHeroes, backend:127.0.0.1
[20250806 01:20:08 823091][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008546, size:91
[20250806 01:20:08 823135][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:task.getAllTask, token:3588679880
[20250806 01:20:08 823235][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:task.getAllTask, backend:127.0.0.1
[20250806 01:20:08 834333][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.011180, size:162
[20250806 01:20:08 834383][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:arena.hasReward, token:3588679890
[20250806 01:20:08 834579][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:arena.hasReward, backend:127.0.0.1
[20250806 01:20:08 844200][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.009783, size:64
[20250806 01:20:08 844241][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:festival.getFeedbackUserInfo, token:3588679900
[20250806 01:20:08 844335][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:festival.getFeedbackUserInfo, backend:127.0.0.1
[20250806 01:20:08 851634][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007373, size:75
[20250806 01:20:08 851670][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:growupplan.getInfo, token:3588679910
[20250806 01:20:08 851780][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:growupplan.getInfo, backend:127.0.0.1
[20250806 01:20:08 863170][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.011483, size:67
[20250806 01:20:08 863210][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:mergeserver.getMergerServerTimes, token:3588679920
[20250806 01:20:08 863314][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:mergeserver.getMergerServerTimes, backend:127.0.0.1
[20250806 01:20:08 869394][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.006173, size:81
[20250806 01:20:08 869435][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:depositPlan.getDepositPlanInfo, token:3588679930
[20250806 01:20:08 869549][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:depositPlan.getDepositPlanInfo, backend:127.0.0.1
[20250806 01:20:08 895900][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.026444, size:0
[20250806 01:20:08 895930][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:reward.getGiftInfo, token:3588679940
[20250806 01:20:08 896050][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:reward.getGiftInfo, backend:127.0.0.1
[20250806 01:20:08 902946][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.006995, size:130
[20250806 01:20:08 902975][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:reward.getSignInfo, token:3588679950
[20250806 01:20:08 903074][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:reward.getSignInfo, backend:127.0.0.1
[20250806 01:20:08 913634][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.010636, size:129
[20250806 01:20:08 913668][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:reward.getRewardGoldInfo, token:3588679960
[20250806 01:20:08 913768][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:reward.getRewardGoldInfo, backend:127.0.0.1
[20250806 01:20:08 924340][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.010648, size:108
[20250806 01:20:08 924377][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:charity.getCharityInfo, token:3588679970
[20250806 01:20:08 924476][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:charity.getCharityInfo, backend:127.0.0.1
[20250806 01:20:08 937949][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.013555, size:159
[20250806 01:20:08 937983][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:worldwar.getUserWorldWarInfo, token:3588679980
[20250806 01:20:08 938091][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:worldwar.getUserWorldWarInfo, backend:127.0.0.1
[20250806 01:20:08 952370][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.014362, size:362
[20250806 01:20:08 952412][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:weekcard.getInfo, token:3588679990
[20250806 01:20:08 952510][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:weekcard.getInfo, backend:127.0.0.1
[20250806 01:20:08 960062][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007639, size:129
[20250806 01:20:08 960103][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:taskfight.getInfo, token:3588680000
[20250806 01:20:08 960192][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:taskfight.getInfo, backend:127.0.0.1
[20250806 01:20:08 967219][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007098, size:87
[20250806 01:20:08 967264][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getSettings, token:3588680010
[20250806 01:20:08 967372][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getSettings, backend:127.0.0.1
[20250806 01:20:08 975943][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008659, size:92
[20250806 01:20:08 975974][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:retrieve.getInfo, token:3588680020
[20250806 01:20:08 976082][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:retrieve.getInfo, backend:127.0.0.1
[20250806 01:20:08 982994][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.006995, size:66
[20250806 01:20:08 983024][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:mail.getNoReadMailCount, token:3588680030
[20250806 01:20:08 983125][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:mail.getNoReadMailCount, backend:127.0.0.1
[20250806 01:20:08 990200][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.007153, size:72
[20250806 01:20:08 990249][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:512]TOKEN_CONSUME, method:city.enterTown, token:3588679600
[20250806 01:20:08 990352][0345782016][INFO][192.168.1.1:63741][uid:25900][logid:3588679600][FastCGICommand.cpp:90]BACKEND_INFO, method:city.enterTown, backend:127.0.0.1
[20250806 01:20:09 016951][0345782016][INFO][192.168.1.1:63741][uid:25900][logid:3588679600][PrivateCommand.cpp:384]dispatch private method:enterTown
[20250806 01:20:09 017095][2885678848][NOTICE][192.168.1.1:63741][uid:25900][logid:3588679600][Connection.cpp:1079]request cost:0.026820, size:88
[20250806 01:20:09 017192][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:elves.get, token:3588679610
[20250806 01:20:09 017316][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:elves.get, backend:127.0.0.1
[20250806 01:20:09 028728][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.011505, size:123
[20250806 01:20:09 028760][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.isGetPayReward, token:3588679610
[20250806 01:20:09 028887][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.isGetPayReward, backend:127.0.0.1
[20250806 01:20:09 039770][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.010984, size:88
[20250806 01:20:09 039800][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:boss.getBossOffset, token:3588679610
[20250806 01:20:09 039933][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:boss.getBossOffset, backend:127.0.0.1
[20250806 01:20:09 048396][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.008562, size:64
[20250806 01:20:09 048448][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:user.getSecondPayInfo, token:3588679610
[20250806 01:20:09 048570][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:user.getSecondPayInfo, backend:127.0.0.1
[20250806 01:20:09 058041][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.009566, size:87
[20250806 01:20:09 058081][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:506]TOKEN_IGNORE, method:arena.getDefeatedNotice, token:2786819120
[20250806 01:20:09 058167][0345782016][INFO][192.168.1.1:63741][uid:25900][FastCGICommand.cpp:90]BACKEND_INFO, method:arena.getDefeatedNotice, backend:127.0.0.1
[20250806 01:20:09 074353][2885678848][NOTICE][192.168.1.1:63741][uid:25900][Connection.cpp:1079]request cost:0.016263, size:70
[20250806 01:20:09 166828][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:512]TOKEN_CONSUME, method:user.isPay, token:2786819100
[20250806 01:20:09 167017][0345782016][INFO][192.168.1.1:63741][uid:25900][logid:2786819100][FastCGICommand.cpp:90]BACKEND_INFO, method:user.isPay, backend:127.0.0.1
[20250806 01:20:09 181571][2885678848][NOTICE][192.168.1.1:63741][uid:25900][logid:2786819100][Connection.cpp:1079]request cost:0.014689, size:59
[20250806 01:20:24 815091][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:512]TOKEN_CONSUME, method:town.move, token:5336715600
[20250806 01:20:24 815289][2885678848][NOTICE][192.168.1.1:63741][uid:25900][logid:5336715600][Connection.cpp:1079]request cost:0.000151, size:0
[20250806 01:20:25 183944][2885678848][INFO][192.168.1.1:63741][uid:25900][Connection.cpp:512]TOKEN_CONSUME, method:town.move, token:5260769900
[20250806 01:20:25 184106][2885678848][NOTICE][192.168.1.1:63741][uid:25900][logid:5260769900][Connection.cpp:1079]request cost:0.000117, size:0
