状态包ID,状态模板名称,buff伤害动画时间点,buff添加动画时间点,buff动画删除时间点,状态显示名称,是否显示状态图标,状态图标或持续特效,状态挂点,状态伤害特效,状态添加特效,状态消失特效,状态描述,状态类型,概率,生效条件,状态效果ID,数据,同状态ID叠加覆喂规则,状态包结束条件,生效次数,持续回合数M,buff添加特效挂点,buff伤害特效挂点,击中效果提示,
82,1率怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,40%减少对方25怒气,debuff,4000,1,28,data=-25,1,1,1,,3,1,meffect_38,
83,2率怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,80%减少对方25怒气,debuff,8000,1,28,data=-25,1,1,1,,3,1,meffect_38,
84,3率怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,40%减少对方50怒气,debuff,4000,1,28,data=-50,1,1,1,,3,1,meffect_38,
85,4率怒杀,2,2,1,,0,,1,meffect_38,beffect_21,,80%减少对方50怒气,debuff,8000,1,28,data=-50,1,1,1,,3,1,meffect_38,
86,1级格挡,2,2,1,反扑,1,beffect_8,1,,beffect_7,,1级加格挡,Buff,10000,1,31,data = 10000,1,2,,2|10000,1,,,
87,2级格挡,2,2,1,反扑,1,beffect_8,1,,beffect_7,,2级加格挡,Buff,10000,1,31,data = 20000,1,2,,2|10000,1,,,
88,3级格挡,2,2,1,反扑,1,beffect_8,1,,beffect_7,,3级加格挡,Buff,10000,1,31,data = 30000,1,2,,2|10000,1,,,
89,4级格挡,2,2,1,反扑,1,beffect_8,1,,beffect_7,,4级加格挡,Buff,10000,1,31,data = 40000,1,2,,2|10000,1,,,
90,5级格挡,2,2,1,反扑,1,beffect_8,1,,beffect_7,,5级加格挡,Buff,10000,1,31,data = 80000,1,2,,2|10000,1,,,
91,1级鼓舞椁弃,2,2,,鼓舞,0,,2,,,,加25点怒气,Buff,10000,1,28,data =25,1,1,1,,,,,
92,2级鼓舞椁弃,2,2,,鼓舞,0,,2,,,,加50点怒气,Buff,10000,1,28,data =50,1,1,1,,,,,
93,3级鼓舞椁弃,2,2,,鼓舞,0,,2,,,,加75点怒气,Buff,10000,1,28,data =75,1,1,1,,,,,
94,4级鼓舞椁弃,2,2,,鼓舞,0,,2,,,,加100点怒气,Buff,10000,1,28,data =100,1,1,1,,,,,
95,1级振奋,2,2,,振奋,0,,2,meffect_13,meffect_37,,加34点怒气,Buff,10000,1,28,data =34,1,1,1,,1,3,meffect_37,
96,1级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
97,2级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
98,3级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
99,4级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*0.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
100,5级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.2*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
101,6级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.4*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
102,7级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.6*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
103,8级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*1.8*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
104,9级治疗,2,2,,治疗,0,,1,meffect_12,,,我是加血的技能,Buff,10000,1,9,if attacker.rageBeforeSkill>150 then data =1.25*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*2.0*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 elseif attacker.rageBeforeSkill>100 then data =((attacker.rageBeforeSkill-100)*0.005+1)*attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*2.0*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 else data =attacker.magicAttackBase*(1+attacker.magicAttackAddition/10000)*2.0*attacker.magicAttackRatio*attacker.currIntelligence*(1+(attacker.modifyCureRatio+defender.modifyBeCuredRatio)/10000)/100000000 end,1,1,1,,,3,,
105,1级婄壁,2,2,1,婄壁,1,beffect_10,1,,beffect_9,,我是婄壁的技能，持续1回合,Buff,10000,1,3,,1,2,,1|10000,3,,,
106,2级婄壁,2,2,1,婄壁,1,beffect_10,1,,beffect_9,,我是婄壁的技能，持续2回合,Buff,10000,1,3,,1,2,,2|10000,3,,,
107,1级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,剧毒是必定中的毒,debuff,10000,7,51,if defender.currHp * 0.05 >25000 then data= -25000 else data = -defender.currHp * 0.05 end,1,2,,5|10000,,1,,
108,2级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,剧毒是必定中的毒,debuff,10000,7,51,data = -defender.currHp * 0.1,1,2,,5|10000,,1,,
109,3级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,剧毒是必定中的毒,debuff,10000,7,51,if defender.currHp * 0.15 >25000 then data =-25000 else data = -defender.currHp * 0.15 end,1,2,,5|10000,,1,,
110,4级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,剧毒是必定中的毒,debuff,10000,7,51,data = -defender.currHp * 0.2,1,2,,5|10000,,1,,
111,5级剧毒,3,2,1,剧毒,1,beffect_3,1,beffect_2,,,剧毒是必定中的毒,debuff,10000,7,51,data = -defender.currHp * 0.25,1,2,,5|10000,,1,,
112,1回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,1|10000,,,,
113,2回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,2|10000,,,,
114,3回脱力,2,2,1,脱力,1,beffect_22,2,,,,,debuff,10000,1,7,,1,2,,3|10000,,,,
115,1级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 116,1,1,1,,,,,
116,吸血1反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.1 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.1
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.1 
 else end",1,1,1,,,3,,
117,2级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 118,1,1,1,,,,,
118,吸血2反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.2 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.2
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.2 
 else end",1,1,1,,,3,,
119,3级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 120,1,1,1,,,,,
120,吸血3反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.3 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.3
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.3 
 else end",1,1,1,,,3,,
121,4级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 122,1,1,1,,,,,
122,吸血4反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.4 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.4
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.4 
 else end",1,1,1,,,3,,
123,5级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 124,1,1,1,,,,,
124,吸血5反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.5 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.5
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.5 
 else end",1,1,1,,,3,,
125,6级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 126,1,1,1,,,,,
126,吸血6反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.6 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.6
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.6 
 else end",1,1,1,,,3,,
127,7级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 128,1,1,1,,,,,
128,吸血7反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.7 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.7
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.7 
 else end",1,1,1,,,3,,
129,8级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 130,1,1,1,,,,,
130,吸血8反翨状态,1,2,2,,0,,,meffect_12,,,敌方中了吸怒状态後被攻击会给攻击者施加的buff 的ID,Buff,10000,4,9,"if attacker.currPhysicalDamage>0 then data=attacker.currPhysicalDamage*0.8 elseif attacker.currKillDamage>0 then data =attacker.currKillDamage*0.8
 elseif attacker.currMagicDamage>0 then data=attacker.currMagicDamage*0.8 
 else end",1,1,1,,,3,,
131,9级吸血,2,2,,,0,,1,,,,我是吸血的技能,Buff,10000,1,52,data = 132,1,1,1,,,,,
