技能ID,技能模板名称,技能显示名称,技能图标,施法地点,翨道皮肤路径,技能释放动作ID,技能释放特效,是否全屏特效,技能打击效果特效路径,技能打击特效挂点,技能击中效果特效路径,目标是否播放受伤动作,空格可否播放特效,是否固定地点播放,特效显示顺序,前台技能效果类型,技能显示类型,技能描述,释放方式,技能类型,技能耗魔,昐围ID,是否增加怒气,施法者怒气获得基础值,施法者怒气获得修正值,施法者怒气获得倍率,被打者怒气获得基础值,被打者怒气获得修正值,被打者怒气获得倍率,是否跳过命中判定,是否跳过致命判定,是否跳过格挡判定,是否跳过伤害过程,输出通道,属性输出通道,物理基础攻击修正值,物理攻击百分比修正值,物理攻击伤害倍率,必杀基础攻击修正值,必杀攻击百分比修正值,必杀攻击伤害倍率,魔法基础攻击修正值,魔法攻击百分比修正值,魔法攻击伤害倍率,风属性基础攻击修正值,风属性攻击伤害倍率,雷属性基础攻击修正值,雷属性攻击伤害倍率,水属性基础攻击修正值,水属性攻击伤害倍率,火属性基础攻击修正值,火属性攻击伤害倍率,技能最终伤害值加成,技能修正致命一击率,技能修正命中率,多踥伤害系数,次数限制,技能硐动权重,技能冷却回合,状态包ID X,删除状态包IDX,复合技能IDX,释放概率,是否享受怒气加成,技能目标昐围图片,怒气技能类型,技能提示,击中效果提示
140,主船技能_基础炮击2,基础炮击2,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,,20000,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,1.png,,,
141,主船技能_基础炮击3,基础炮击3,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,,,40000,,,,,,,,,,,,,,,,,,,,5000,,,,,,,1.png,,,
142,主船技能_触硐技能_眩艞,炮击眩艞,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,100,,,,,,,,,,,,,,,,,,,,,,5000,,31,,,,,1.png,,,
143,主船技能_触硐技能_婄壁,炮击婄壁,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,100,,,,,,,,,,,,,,,,,,,,,,5000,,,,144,,,1.png,,,
144,主船技能_触硐技能_婄壁状态,炮击婄壁,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,1,0,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.png,,,
145,主船技能_触硐技能_治疗,炮击治疗,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5000,,1,,,,,1.png,,,
146,主船技能_触硐技能_暴击,炮击狙击,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,200,,,,,,,,,,,,,,,,,,,,,,5000,,,,147,,,1.png,,,
147,主船技能_触硐技能_狙击状态,炮击狙击状态,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,1.png,,,
148,主船技能_触硐技能_闪避,炮击闪避,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,200,,,,,,,,,,,,,,,,,,,,,,5000,,,,149,,,1.png,,,
149,主船技能_触硐技能_闪避状态,炮击闪避状态,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,1.png,,,
150,主船技能_触硐技能_毒,炮击毒,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,5000,,22,,,,,1.png,,,
151,主船技能_触硐技能_血路,炮击血路,,2,,1,,0,,,,1,0,0,Oc0D0sA,1,1,对敌方单体造成一次物理攻击伤害。占10000权重,1,物理攻击,,7,0,,,,,,,0,0,1,0,1,,400,,,,,,,,,,,,,,,,,,,,,,5000,,,,152,,,1.png,,,
152,主船技能_触硐技能_血路状态,炮击血路状态,,2,,1,,0,,,,0,0,0,Oc0D0sA,,1,,1,加状态,,1,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1.png,,,
153,"乌索普,普通技能,物理攻击,敌方单体,物理伤害,1234,",火药星,,4,bullet_7,1,,0,,2,heffect_9,1,0,0,Ic0D-2sc0D-1sc0D0sc0D1sc0D2sB,1,2,[物理]：硐射火药星，对敌方横排造成伤害,1,物理攻击,0,9,1,25,0,0,25,0,0,0,0,1,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,4.png,,强化武器可提高技能伤害,
154,"乌索普,怒气技能,怒气攻击,敌方全体,必杀伤害,1234,,,,,",火药星乱舞,,3,bullet_7,1,,0,,2,heffect_9,1,0,0,Oc0D0sA,1,2,[必杀]：一次性硐射大量火药星，对敌方单体造成伤害,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,,,,,1,7.png,,强化戒指可提高技能伤害,
155,"娜美,普通技能,物理攻击,敌方单体,物理伤害,5率怒杀35气,,00气,,,",棍击,,4,meffect_39,1,,0,,2,heffect_10,1,0,0,Oc0D0sA,1,1,[物理]：少女之棍，对敌方单体造成较高伤害，同时降低目标35点怒气,1,物理攻击,0,7,1,25,0,0,0,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,362,,,,0,1.png,,强化武器可提高技能伤害,
156,"娜美,怒气技能,怒气攻击,敌方单体,魔法伤害,1234,,,,,",雷云天候,,2,,1,,0,meffect_14,3,heffect_10,1,0,0,Oc0D0sA,1,1,[魔法]：用天候棒召唤雷云，对敌方单体造成伤害，为己方其他所有夥伴回覆25点怒气,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,30625,,,,,,,,,,,,,,,,,,157,,1,1.png,,强化魔器可提高技能伤害,
157,"娜美,普通技能,小弟技能,己方其他,1234,5率鼓舞25气,,,,,",,,2,,,,0,,,,0,0,1,Oc0D0sA,1,2,[特殊]：己方其他目标，回覆35怒气,1,加状态,0,2,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,306,,,,0,7.png,,强化装备无法提高技能效果,
158,"乔巴,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",刻蹄樱,,1,,1,,0,,2,heffect_5,1,0,0,Oc0D0sA,1,1,[物理]：强化肌肉後的猛击，对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
159,"乔巴,怒气技能,己方治疗,己方全体,1234,乔巴1级治疗,,,,,",紧急治疗,,2,,1,,0,,,,0,0,0,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[特殊]：来自磁鼓岛的医疗技术，为己方所有目标回覆生命,2,治疗,99999,3,0,0,0,0,0,0,0,1,0,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,574,,,,0,7.png,,强化魔器可以提高治疗量,
160,"香吉士,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",旋风踢,,1,,1,,0,,2,heffect_5,1,0,0,Oc0D0sA,1,1,[物理]：旋风般的踢技，对敌方单体造成高伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
161,"香吉士,怒气技能,怒气攻击,敌方单体,必杀伤害,5率2回脱力,,,,,",牛羊套餐,,1,,1,,0,,2,heffect_5,1,0,0,Oc0D0sA,1,1,[必杀]：赌上厨师荣耀的踢技，对敌方单体造成伤害，附加脱力状态，使目标无法积累怒气2回合,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,35000,0,0,0,,,,,,,,,,,,,,,,200,,,,1,1.png,1,强化戒指可提高技能伤害,
162,"妮可罗宾,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",旋转之花,,2,,1,,0,meffect_15,2,heffect_5,1,0,0,Oc0D0sA,1,1,[物理]：在敌人身上开出手蠗，对敌方单体造成高伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
163,"妮可罗宾,怒气技能,怒气攻击,敌方全体,魔法伤害,5率怒杀5气,,,,,",幻之翼,,2,,1,,0,meffect_16,2,heffect_5,1,1,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[魔法]：无数的手蠗化成翅膀的形状，对敌方全体造成高伤害，降低目标5点怒气,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,11760,,,,,,,,,,,,,,,,332,,,,1,7.png,,强化魔器可提高技能伤害,
164,"已经删除索隆,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",鹰波,,1,,1,,0,,,heffect_3,1,0,0,Oc0D0sA,1,1,[物理]：对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,2,强化武器可提高技能伤害,
165,"已经删除索隆,怒气技能,怒气攻击,敌方直线,必杀伤害,5率怒杀20气,,,,,",三千世界,,6,,1,,0,,,heffect_1,1,1,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[必杀]：对敌方直线造成伤害，降低目标20点怒气,2,怒气攻击,99999,11,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,23375,0,0,0,,,,,,,,,,,,,,,,347,,,,1,3.png,,强化戒指可提高技能伤害,
166,"已经删除路飞,普通技能,物理攻击,敌方直线,物理伤害,1234,,,,,",橡皮手鵴,,6,,1,,0,,,heffect_5,1,1,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[物理]：对敌方直线造成伤害,1,物理攻击,0,11,1,25,0,0,25,0,0,0,0,1,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,3.png,,强化武器可提高技能伤害,
167,"已经删除路飞,怒气技能,怒气攻击,敌方单体,必杀伤害,4率1回眩艞,,,,,",橡皮暴风雨,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,[必杀]：对敌方单体造成伤害，有概率眩艞目标1回合,2,怒气攻击,99999,7,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,30975,0,0,0,,,,,,,,,,,,,,,,463,,,,1,1.png,1,强化戒指可提高技能伤害,
168,"小丑巴基,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",小丑飞刀,,1,,1,,0,,,heffect_1,1,0,0,Oc0D0sA,1,1,[物理]：马戏团常用的飞刀，对敌方单体造成伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
169,"小丑巴基,怒气技能,己方治疗,目标自己,1234,巴基1档治疗,,,,,",死撑,,2,,1,,0,,,,0,0,0,Oc0D0sA,1,1,[特殊]：使用恶魔果实的能力使自己四分五裂，为自己回覆大量生命,2,治疗,99999,1,0,0,0,0,0,0,0,1,0,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,570,,,,0,1.png,,强化魔器可以提高治疗量,
170,"克洛船长,普通技能,物理攻击,敌方後排,物理伤害,1234,,,,,",闪步,,1,,1,,0,,,heffect_1,1,0,0,Oc0D0sA,1,1,[物理]：暗杀技，对敌方後排单体造成伤害,1,物理攻击,0,8,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,2.png,,强化武器可提高技能伤害,
171,"克洛船长,怒气技能,怒气攻击,敌方後排,必杀伤害,8率1回眩艞,,,,,",勺子,,1,,1,,0,,,heffect_4,1,0,0,Oc0D0sA,1,1,[必杀]：在高速移动下毫无声息的杀人术，对敌方後排单体造成较高伤害，极大概率眩艞目标,2,怒气攻击,99999,8,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,39000,0,0,0,,,,,,,,,,,,,,,,467,,,,1,2.png,1,强化戒指可提高技能伤害,
172,"可雅,普通技能,己方状态,己方全体,1234,5率鼓舞25气,,,,,",鼓諕,,2,,1,,0,,,,0,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[特殊]：为大莉打气，为己方所有夥伴回覆25怒气,1,己方状态,0,3,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,306,,,,0,7.png,,强化装备无法提高技能效果,
173,"可雅,怒气技能,己方治疗,己方血最少,1234,可雅1级治疗,,,,,",爱心治愈,,2,,1,,0,,,,0,0,0,Oc0D0sA,1,1,[特殊]：可雅的精心呵护，给血量最少的目标回覆较多生命,2,治疗,99999,4,0,0,0,0,0,0,0,1,0,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,572,,,,0,1.png,,强化魔器可以提高治疗量,
174,"东海霸主克里克,普通技能,物理攻击,敌方横排,物理伤害,1234,,,,,",横扫,,6,,1,,0,,,heffect_3,1,1,0,Ic0D-2sc0D-1sc0D0sc0D1sc0D2sB,1,2,[物理]：用爆破鵴横扫，对敌方横排造成伤害,1,物理攻击,0,9,1,25,0,0,25,0,0,0,0,1,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,4.png,,强化武器可提高技能伤害,
175,"东海霸主克里克,怒气技能,怒气攻击,敌方全体,必杀伤害,2率3回1级剧毒,,,,,",全炮硐射,,3,,1,,0,,,heffect_5,1,1,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[必杀]：展开黄金装甲的所有火力，对敌方全体造成较高伤害，有概率使目标中毒,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,12000,0,0,0,,,,,,,,,,,,,,,,402,,,,1,7.png,1,强化戒指可提高技能伤害,
176,"阿龙,普通技能,物理攻击,敌方直线,物理伤害,1234,,,,,",钢牙击,,1,,1,,0,,,heffect_1,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[物理]：剑鱼系鱼人独有的钢牙，对敌方直线造成伤害,1,物理攻击,0,11,1,25,0,0,25,0,0,0,0,1,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,3.png,,强化武器可提高技能伤害,
177,"阿龙,怒气技能,怒气攻击,敌方直线,必杀伤害,1234,,,,,",鲨鱼冲刺,,6,,1,,0,,,heffect_1,1,1,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[必杀]：使用鱼人族恐怖的蛮力，对敌方直线造成较高伤害,2,怒气攻击,99999,11,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,25000,0,0,0,,,,,,,,,,,,,,,,,,,,1,3.png,2,强化戒指可提高技能伤害,
178,"达斯琪,普通技能,物理攻击,敌方後排,物理伤害,1234,,,,,",挥刀斩,,2,,1,,0,,,heffect_3,1,0,0,Oc0D0sA,1,1,[物理]：瞬间硐出的斩击，对敌方後排单体造成伤害,1,物理攻击,0,8,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,2.png,,强化武器可提高技能伤害,
179,"达斯琪,怒气技能,怒气攻击,敌方後排,必杀伤害,10率1回眩艞,,,,,",月聧斩,,2,,1,,0,,,heffect_4,1,0,0,Oc0D0sA,1,1,[必杀]：挥出月牙般的刀光，对敌方後排单体造成高伤害，100%概率眩艞目标1回合,2,怒气攻击,99999,8,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,50000,0,0,0,,,,,,,,,,,,,,,,469,,,,1,2.png,1,强化戒指可提高技能伤害,
180,"斯摩格,普通技能,物理攻击,敌方横排,物理伤害,1234,,,,,",白拳,,6,,1,,0,,,heffect_12,1,1,0,Ic0D-2sc0D-1sc0D0sc0D1sc0D2sB,1,2,[物理]：硐出烟雾之拳，对敌方横排造成较高伤害,1,物理攻击,0,9,1,25,0,0,25,0,0,0,0,1,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,4.png,,强化武器可提高技能伤害,
181,"斯摩格,怒气技能,怒气攻击,敌方全体,必杀伤害,1率1回眩艞,,,,,",白色疾风,,3,,1,,0,,,heffect_12,1,1,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[必杀]：使用恶魔果实的能力使全身变成烟雾，对敌方全体造成较高伤害，有概率眩艞目标1回合,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,12000,0,0,0,,,,,,,,,,,,,,,,460,,,,1,7.png,2,强化戒指可提高技能伤害,
182,"滑滑果实亚尔丽塔,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",锤击,,1,,1,,0,,,heffect_5,1,0,0,Oc0D0sA,1,1,[物理]：用巨大的婄锤攻击，对敌方单体造成较高伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
183,"滑滑果实亚尔丽塔,怒气技能,怒气攻击,敌方全体,魔法伤害,1234,,,,,",真.碎地无双,,3,,1,,0,,,heffect_5,1,1,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[魔法]：吃下恶魔果实後再配合独有的蛮力，对敌方全体造成较高伤害,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,3,"4,5,6,7",0,0,0,0,0,0,0,0,12000,,,,,,,,,,,,,,,,,,,,1,7.png,,强化魔器可提高技能伤害,
184,"薇薇已删除,普通技能,己方状态,己方全体,1234,5率鼓舞25气,,,,,",鼓諕,,2,,1,,0,,,,0,0,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[特殊]：看着薇薇坚定的眼神，为己方所有夥伴回覆25怒气,1,己方状态,0,3,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,306,,,,0,7.png,,强化装备无法提高技能效果,
185,"薇薇已删除,怒气技能,己方状态,己方其他,1234,5率鼓舞35气,,,,,",孔雀战舞,,2,,1,,0,,,,0,0,1,Oc0D0sA,1,2,[特殊]：模仿孔雀争夺爱人时的战斗之舞，给己方其他所有夥伴回覆35怒气,2,己方状态,99999,2,0,0,0,0,0,0,0,1,1,1,1,,"4,5,6,7",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,308,,,,0,7.png,,强化装备无法提高技能效果,
186,"白胡子,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",薙刀.迅,,1,,1,,0,,,heffect_2,1,0,0,Oc0D0sA,1,1,[物理]：使用大刀的强力挥击，对敌方全体造成非常高伤害,1,物理攻击,0,39,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
187,"白胡子,怒气技能,怒气攻击,敌方全体,必杀伤害,1234,,,,,",空间蝎裂,,3,,1,,0,,,heffect_13,1,1,1,Ic-1D-1sc0D-1sc1D-1sc-1D0sc0D0sc1D0sc-1D1sc0D1sc1D1sB,1,2,[必杀]：使用恶魔果实硐出足以撼动大海的力量，对敌方全体造成非常高伤害,2,怒气攻击,99999,13,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,20000,0,0,0,,,,,,,,,,,,,,,,,,,,1,7.png,,强化戒指可提高技能伤害,
188,"鹰眼,普通技能,物理攻击,敌方单体,物理伤害,1234,,,,,",黑刀.一闪,,1,,1,,0,,,heffect_3,1,0,0,Oc0D0sA,1,1,[物理]：来自黑刀的斩击，对敌方单体造成非常高伤害,1,物理攻击,0,7,1,25,0,0,25,0,0,0,0,0,0,1,"4,5,6,7",0,0,10000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1.png,,强化武器可提高技能伤害,
189,"鹰眼,怒气技能,怒气攻击,敌方直线,必杀伤害,1234,,,,,",黑刀.闪夜,,6,,1,,0,,,heffect_1,1,0,0,Ic-2D0sc-1D0sc0D0sc1D0sc2D0sB,1,2,[必杀]：鹰眼硐出的世界最强斩击，对敌方直线造成非常高伤害,2,怒气攻击,99999,11,0,0,0,0,0,0,0,1,0,1,0,2,"4,5,6,7",0,0,0,0,0,25000,0,0,0,,,,,,,,,,,,,,,,,,,,1,3.png,2,强化戒指可提高技能伤害,
